,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,PC1,PC2,db_label
0,Stephen Curry,GSW,28,79,71,8,34.2,30.1,10.2,20.2,50.4,5.1,11.2,45.4,4.6,5.1,90.8,0.9,4.6,5.4,6.7,3.3,2.1,0.2,2.0,15,2,12.9,-27.6560742702,4.62801040598,0
1,James Harden,HOU,26,82,41,41,38.1,29.0,8.7,19.7,43.9,2.9,8.0,35.9,8.8,10.2,86.0,0.8,5.3,6.1,7.5,4.6,1.7,0.6,2.8,23,3,1.5,-18.4623345262,0.0985802407919,0
2,Kevin Durant,OKC,27,72,52,20,35.8,28.2,9.7,19.2,50.5,2.6,6.7,38.7,6.2,6.9,89.8,0.6,7.6,8.2,5.0,3.5,1.0,1.2,1.9,27,1,9.0,-22.732277209,-0.597912697976,1
3,DeMarcus Cousins,SAC,25,65,29,36,34.6,26.9,9.2,20.5,45.1,1.1,3.2,33.3,7.3,10.2,71.8,2.4,9.1,11.5,3.3,3.8,1.6,1.4,3.6,47,1,0.6,-4.83525610776,5.35132951293,2
4,LeBron James,CLE,31,76,56,20,35.6,25.3,9.7,18.6,52.0,1.1,3.7,30.9,4.7,6.5,73.1,1.5,6.0,7.4,6.8,3.3,1.4,0.6,1.9,28,3,8.1,-4.34181187334,1.86127298868,2
5,Damian Lillard,POR,25,75,40,35,35.7,25.1,8.2,19.7,41.9,3.1,8.1,37.5,5.5,6.2,89.2,0.6,3.4,4.0,6.8,3.2,0.9,0.4,2.2,15,0,1.3,-21.9821347594,-0.0284558110871,3
6,Anthony Davis,NOP,23,61,24,37,35.5,24.3,9.2,18.6,49.3,0.6,1.8,32.4,5.3,7.0,75.8,2.1,8.1,10.3,1.9,2.0,1.3,2.0,2.4,36,0,-3.3,-6.89786713931,1.82879249241,4
7,Russell Westbrook,OKC,27,80,55,25,34.4,23.5,8.2,18.1,45.4,1.3,4.3,29.6,5.8,7.2,81.2,1.8,6.0,7.8,10.4,4.3,2.0,0.3,2.5,54,18,7.9,-10.8997492524,-2.7828925077,5
8,DeMar DeRozan,TOR,26,78,53,25,35.9,23.5,7.9,17.7,44.6,0.6,1.8,33.8,7.1,8.4,85.0,0.8,3.7,4.5,4.0,2.2,1.0,0.3,2.1,3,0,2.2,-15.7770292438,-1.41735126973,6
9,Paul George,IND,26,81,44,37,34.8,23.1,7.5,17.9,41.8,2.6,7.0,37.1,5.6,6.5,86.0,1.0,6.0,7.0,4.1,3.3,1.9,0.4,2.8,15,0,2.2,-18.8533263088,1.27798064452,0
10,Isaiah Thomas,BOS,27,82,48,34,32.2,22.2,7.2,16.9,42.8,2.0,5.7,35.9,5.8,6.6,87.1,0.6,2.4,3.0,6.2,2.7,1.1,0.1,2.0,7,0,3.6,-18.9829097096,-0.446527356789,3
11,Klay Thompson,GSW,26,80,71,9,33.3,22.1,8.1,17.3,47.0,3.5,8.1,42.5,2.4,2.8,87.3,0.4,3.4,3.8,2.1,1.7,0.8,0.6,1.9,0,0,10.5,-22.6475515343,4.41843275724,7
12,Carmelo Anthony,NYK,32,72,32,40,35.1,21.8,7.9,18.2,43.4,1.5,4.3,33.9,4.6,5.6,82.9,1.4,6.4,7.7,4.2,2.4,0.9,0.5,2.5,22,0,-0.6,-14.2121491444,0.0540842282393,5
13,Blake Griffin,LAC,27,35,22,13,33.4,21.4,8.6,17.2,49.9,0.2,0.5,33.3,4.0,5.5,72.7,1.5,6.9,8.4,4.9,2.4,0.8,0.5,2.7,13,0,5.2,-4.94090372605,4.17838991006,4
14,Kyle Lowry,TOR,30,77,54,23,37.0,21.2,6.6,15.6,42.7,2.8,7.1,38.8,5.2,6.4,81.1,0.7,4.0,4.7,6.4,2.9,2.1,0.4,2.7,12,1,4.9,-15.5776023947,5.2541251142,8
15,Kawhi Leonard,SAS,25,72,60,12,33.1,21.2,7.7,15.1,50.6,1.8,4.0,44.3,4.1,4.6,87.4,1.3,5.5,6.8,2.6,1.5,1.8,1.0,1.8,12,0,9.1,-23.0602938671,5.17252929876,5
16,Jimmy Butler,CHI,26,67,37,30,36.9,20.9,7.0,15.4,45.4,1.0,3.1,31.2,5.9,7.1,83.2,1.2,4.2,5.3,4.8,2.0,1.6,0.6,1.9,10,2,-0.2,-12.5990223975,-2.66963213566,5
17,Kemba Walker,CHA,26,81,47,34,35.6,20.9,7.0,16.4,42.7,2.2,6.0,37.1,4.6,5.4,84.7,0.7,3.7,4.4,5.2,2.1,1.6,0.5,1.4,3,0,3.0,-17.5360258496,1.85929996828,0
18,CJ McCollum,POR,24,80,44,36,34.7,20.8,8.0,17.9,44.8,2.5,5.9,41.7,2.3,2.8,82.7,0.6,2.7,3.2,4.3,2.5,1.2,0.3,2.3,2,0,1.9,-18.2469837192,6.54325818273,3
19,Andrew Wiggins,MIN,21,81,29,52,35.1,20.7,7.3,16.0,45.9,0.7,2.3,30.0,5.3,7.0,76.1,1.3,2.3,3.6,2.0,2.2,1.0,0.6,2.0,1,0,-0.8,-5.90591724375,0.152555063313,9
20,Brook Lopez,BKN,28,73,21,52,33.7,20.6,8.1,15.8,51.1,0.0,0.2,14.3,4.3,5.5,78.7,2.8,5.1,7.8,2.0,2.4,0.8,1.7,2.9,26,0,-1.7,0.892400042731,-15.000615058,10
21,Eric Bledsoe,PHX,26,31,12,19,34.2,20.4,7.2,15.9,45.3,1.5,4.2,37.2,4.5,5.5,80.2,0.6,3.5,4.0,6.1,3.5,2.0,0.6,2.4,3,0,-1.6,-13.4373978007,4.03026539182,0
22,John Wall,WAS,25,77,37,40,36.2,19.9,7.4,17.5,42.4,1.5,4.3,35.1,3.5,4.5,79.1,0.5,4.4,4.9,10.2,4.1,1.9,0.8,2.1,49,4,1.3,-11.9569280547,3.33664947366,0
23,Gordon Hayward,UTA,26,80,38,42,36.2,19.7,6.5,15.0,43.3,1.8,5.1,34.9,4.9,6.0,82.4,0.8,4.2,5.0,3.7,2.5,1.2,0.3,2.3,4,0,1.2,-14.1259339882,1.14722518819,0
24,Kyrie Irving,CLE,24,53,37,16,31.5,19.6,7.4,16.6,44.8,1.6,4.9,32.1,3.2,3.6,88.5,0.8,2.1,3.0,4.7,2.3,1.1,0.3,2.0,1,0,3.9,-17.8085541249,-4.62316880256,3
25,Brandon Knight,PHX,24,52,16,36,36.0,19.6,7.1,17.2,41.5,2.3,6.8,34.2,3.0,3.5,85.2,0.7,3.2,3.9,5.1,3.4,1.2,0.4,2.4,4,1,-4.0,-16.3132538315,-0.582573511395,3
26,Danilo Gallinari,DEN,27,53,22,31,34.7,19.5,5.4,13.2,41.0,1.6,4.5,36.4,7.1,8.2,86.8,1.0,4.3,5.3,2.5,1.5,0.8,0.4,1.6,3,0,-1.9,-18.4027313317,0.174044073736,6
27,Chris Paul,LAC,31,74,50,24,32.7,19.5,7.0,15.1,46.2,1.6,4.4,37.1,4.0,4.4,89.6,0.5,3.7,4.2,10.0,2.6,2.1,0.2,2.5,38,0,7.5,-21.4960490131,-1.3001854328,3
28,Chris Bosh,MIA,32,53,29,24,33.5,19.1,6.8,14.5,46.7,1.5,4.2,36.5,4.0,5.1,79.5,0.9,6.5,7.4,2.4,1.5,0.7,0.6,1.9,15,0,0.6,-12.19298465,3.55520241719,11
29,Dwyane Wade,MIA,34,74,43,31,30.5,19.0,7.3,16.0,45.6,0.1,0.6,15.9,4.4,5.5,79.3,1.1,3.0,4.1,4.6,2.7,1.1,0.6,1.6,2,0,-0.1,-0.997542201157,-13.2252875618,12
30,Reggie Jackson,DET,26,79,43,36,30.7,18.8,6.8,15.7,43.4,1.5,4.2,35.3,3.7,4.3,86.4,0.7,2.5,3.2,6.2,2.8,0.7,0.1,2.4,9,0,1.6,-17.7377335264,-0.687803435901,3
31,Karl-Anthony Towns,MIN,20,82,29,53,32.0,18.3,7.6,14.1,54.2,0.4,1.1,34.1,2.7,3.4,81.1,2.8,7.7,10.5,2.0,2.2,0.7,1.7,3.0,52,0,-1.6,-11.4465439954,-0.387639802595,4
32,Dirk Nowitzki,DAL,38,75,38,37,31.5,18.3,6.6,14.8,44.8,1.7,4.6,36.8,3.3,3.7,89.3,0.7,5.8,6.5,1.8,1.1,0.7,0.7,2.1,10,0,3.4,-20.7149476363,-1.30115955731,6
33,Nikola Vucevic,ORL,25,65,28,37,31.3,18.2,8.2,16.1,51.0,0.0,0.1,22.2,1.7,2.3,75.3,2.7,6.2,8.9,2.8,1.9,0.8,1.1,2.7,29,0,-0.7,-0.577031069966,-6.57354045349,10
34,Khris Middleton,MIL,24,79,33,46,36.1,18.2,6.4,14.5,44.4,1.8,4.6,39.6,3.5,3.9,88.8,0.6,3.3,3.8,4.2,2.3,1.7,0.2,2.6,1,0,-0.4,-21.7595803787,1.38901271148,3
35,LaMarcus Aldridge,SAS,30,74,61,13,30.6,18.0,7.2,14.1,51.3,0.0,0.2,0.0,3.5,4.1,85.8,2.4,6.2,8.5,1.5,1.3,0.5,1.1,2.0,26,0,6.9,2.60838869703,-30.7682167959,13
36,Kobe Bryant,LAL,37,66,13,53,28.2,17.6,6.0,16.9,35.8,2.0,7.1,28.5,3.5,4.3,82.6,0.6,3.1,3.7,2.8,2.0,0.9,0.2,1.7,2,0,-8.7,-11.1732636763,-3.15298477071,3
37,Jahlil Okafor,PHI,20,53,6,47,30.0,17.5,7.5,14.7,50.8,0.0,0.1,16.7,2.5,3.7,68.6,2.3,4.7,7.0,1.2,2.3,0.4,1.2,2.6,11,0,-9.4,8.41336030902,-7.43609316146,14
38,Bradley Beal,WAS,23,55,28,27,31.1,17.4,6.5,14.5,44.9,1.9,4.9,38.7,2.5,3.2,76.7,0.7,2.7,3.4,2.9,2.0,1.0,0.2,2.1,0,0,-0.4,-11.1321267034,7.22838478387,3
39,Rudy Gay,SAC,29,70,29,41,34.0,17.2,6.7,14.4,46.3,1.1,3.1,34.4,2.8,3.6,78.0,1.5,5.0,6.5,1.7,2.0,1.4,0.7,2.6,7,0,-1.2,-9.65551320462,2.68001214994,2
40,Paul Millsap,ATL,31,81,48,33,32.7,17.1,6.2,13.2,47.0,0.9,2.9,31.9,3.8,5.0,75.7,2.4,6.6,9.0,3.3,2.4,1.8,1.7,2.9,32,0,2.7,-6.44519589315,1.7230798946,2
41,Ryan Anderson,NOP,28,66,24,42,30.4,17.0,6.0,14.1,42.7,2.0,5.4,36.6,3.0,3.5,87.3,2.0,4.0,6.0,1.1,1.4,0.6,0.4,1.7,8,0,0.5,-18.9001153237,-0.0848299554721,6
42,Giannis Antetokounmpo,MIL,21,80,32,48,35.3,16.9,6.4,12.7,50.6,0.4,1.4,25.7,3.7,5.1,72.4,1.4,6.2,7.7,4.3,2.6,1.2,1.4,3.2,21,5,-2.1,0.111017481201,-2.06848733406,15
43,Jrue Holiday,NOP,26,65,27,38,28.2,16.8,6.3,14.4,43.9,1.3,4.0,33.6,2.8,3.3,84.3,0.4,2.6,3.0,6.0,2.6,1.4,0.3,2.3,5,0,0.4,-14.8502216539,-1.02305404105,3
44,Marc Gasol,MEM,31,52,30,22,34.4,16.6,6.3,13.6,46.4,0.0,0.1,66.7,3.9,4.7,82.9,1.1,5.8,7.0,3.8,2.3,1.0,1.3,2.7,9,1,0.2,-31.032095925,26.5177319333,2
45,Pau Gasol,CHI,35,72,36,36,31.8,16.5,6.5,13.8,46.9,0.3,1.0,34.8,3.2,4.0,79.2,2.2,8.9,11.0,4.1,2.3,0.6,2.0,2.1,46,2,0.0,-10.8035267419,2.15033890387,4
46,Derrick Favors,UTA,24,62,30,32,32.0,16.4,6.7,13.1,51.5,0.0,0.1,0.0,2.9,4.1,70.9,2.7,5.4,8.1,1.5,1.7,1.2,1.5,2.4,19,0,1.6,15.2954655243,-22.6294109576,16
47,Derrick Rose,CHI,27,66,32,34,31.8,16.4,6.8,15.9,42.7,0.7,2.3,29.3,2.2,2.7,79.3,0.7,2.7,3.4,4.7,2.7,0.7,0.2,1.3,1,0,-2.5,-8.34600438189,-1.70873530993,3
48,JJ Redick,LAC,32,75,50,25,28.0,16.3,5.6,11.7,48.0,2.7,5.6,47.5,2.4,2.7,88.8,0.1,1.7,1.9,1.4,1.0,0.6,0.1,1.8,0,0,6.8,-25.6910951331,7.4200883482,17
49,Andre Drummond,DET,22,81,43,38,32.9,16.2,6.8,13.1,52.1,0.0,0.1,33.3,2.6,7.2,35.5,4.9,9.9,14.8,0.8,1.9,1.5,1.4,3.0,66,0,1.6,26.784681153,24.0894992408,16
50,Kevin Love,CLE,27,77,53,24,31.5,16.0,5.3,12.7,41.9,2.1,5.7,36.0,3.4,4.1,82.2,1.9,8.0,9.9,2.4,1.8,0.8,0.5,2.1,35,0,5.6,-14.5316464144,2.25514513094,18
51,Victor Oladipo,ORL,24,72,32,40,33.0,16.0,5.9,13.5,43.8,1.4,3.9,34.8,2.8,3.4,83.0,0.7,4.1,4.8,3.9,2.1,1.6,0.8,2.4,3,1,-0.3,-14.2400481458,0.630218816159,1
52,Jeff Teague,ATL,28,79,47,32,28.5,15.7,5.5,12.5,43.9,1.4,3.5,40.1,3.3,3.9,83.7,0.4,2.3,2.7,5.9,2.8,1.2,0.3,2.1,4,0,0.8,-17.665144847,4.60949949008,3
53,Jordan Clarkson,LAL,24,79,17,62,32.3,15.5,6.0,13.9,43.3,1.4,4.1,34.7,2.1,2.6,80.4,1.2,2.8,4.0,2.4,1.7,1.1,0.1,2.1,1,0,-7.9,-11.7576218279,2.06813891402,3
54,Evan Fournier,ORL,23,79,33,46,32.5,15.4,5.4,11.8,46.2,2.0,4.9,40.0,2.5,3.0,83.6,0.4,2.4,2.8,2.7,1.7,1.2,0.0,2.7,0,0,-2.4,-17.1517495999,4.30556500355,3
55,Lou Williams,LAL,29,67,14,53,28.5,15.3,4.2,10.3,40.8,1.6,4.8,34.4,5.3,6.3,83.0,0.5,2.1,2.5,2.5,1.6,0.9,0.3,1.6,0,0,-6.0,-13.7341878202,0.636274304787,3
56,Greg Monroe,MIL,26,79,32,47,29.3,15.3,6.2,11.9,52.2,0.0,0.0,0.0,2.9,3.9,74.0,2.8,6.1,8.8,2.3,1.6,0.9,0.8,2.1,32,0,-1.4,12.959096391,-24.4401192608,19
57,Mike Conley,MEM,28,56,33,23,31.4,15.3,5.3,12.4,42.2,1.4,3.8,36.3,3.4,4.1,83.4,0.5,2.5,2.9,6.1,1.5,1.2,0.3,1.8,4,0,1.1,-15.4827699278,1.85787942161,3
58,Zach Randolph,MEM,34,68,37,31,29.7,15.3,6.3,13.3,47.5,0.1,0.4,23.1,2.5,3.2,79.6,2.6,5.1,7.8,2.1,1.5,0.6,0.2,2.1,17,1,-0.2,-4.60049059126,-7.79342023863,20
59,Eric Gordon,NOP,27,45,14,31,32.9,15.2,5.1,12.3,41.8,2.5,6.5,38.4,2.5,2.8,88.8,0.2,2.0,2.2,2.7,1.6,1.0,0.3,2.2,0,0,-1.6,-21.0340354535,0.757279264869,21
60,Al Horford,ATL,30,82,48,34,32.1,15.2,6.5,12.8,50.5,1.1,3.1,34.4,1.3,1.6,79.8,1.8,5.5,7.3,3.2,1.3,0.8,1.5,2.0,17,0,2.8,-10.880773333,1.13709974349,9
61,Avery Bradley,BOS,25,76,45,31,33.4,15.2,6.0,13.4,44.7,1.9,5.4,36.1,1.3,1.6,78.0,0.6,2.3,2.9,2.1,1.4,1.5,0.3,2.2,0,0,2.8,-10.7979297227,4.39739625159,3
62,Tyreke Evans,NOP,26,25,11,14,30.6,15.2,5.4,12.6,43.3,1.3,3.4,38.8,3.0,3.7,79.6,0.8,4.4,5.2,6.6,2.9,1.3,0.3,2.6,6,0,-0.6,-13.579599183,5.84381861796,0
63,Thaddeus Young,BKN,28,73,21,52,33.0,15.1,6.8,13.2,51.4,0.1,0.4,23.3,1.4,2.2,64.4,2.4,6.6,9.0,1.9,1.9,1.5,0.5,2.5,28,0,-3.2,8.2841288619,0.213220987095,10
64,Nicolas Batum,CHA,27,70,41,29,35.0,14.9,5.3,12.5,42.6,2.0,5.7,34.8,2.3,2.7,84.9,0.8,5.3,6.1,5.8,2.9,0.9,0.6,1.6,11,2,3.0,-16.0706107824,-0.22036629333,0
65,Tobias Harris,DET,23,76,37,39,33.1,14.7,5.5,11.7,46.9,1.1,3.1,33.5,2.7,3.2,83.1,1.3,5.4,6.7,2.2,1.4,0.9,0.5,2.0,12,0,0.3,-13.172993865,-0.990650107854,9
66,Rodney Hood,UTA,23,79,39,40,32.2,14.5,5.2,12.3,42.0,2.0,5.7,35.9,2.2,2.5,86.0,0.5,2.9,3.4,2.7,1.6,0.9,0.2,2.6,0,0,1.7,-17.4181326288,0.163658871262,3
67,Kentavious Caldwell-Pope,DET,23,76,41,35,36.7,14.5,5.3,12.6,42.0,1.5,4.9,30.9,2.4,3.0,81.1,0.9,2.8,3.7,1.8,1.4,1.4,0.2,2.2,1,0,2.3,-10.6336378192,-1.30874275335,3
68,Will Barton,DEN,25,82,33,49,28.7,14.4,5.2,12.0,43.2,1.4,4.0,34.5,2.6,3.3,80.6,0.7,5.1,5.8,2.5,1.7,0.9,0.5,1.8,6,0,-1.6,-11.8879736554,1.72492710216,6
69,Kristaps Porzingis,NYK,20,72,28,44,28.4,14.3,5.2,12.3,42.1,1.1,3.4,33.3,2.8,3.3,83.8,1.8,5.5,7.3,1.3,1.7,0.7,1.9,2.8,21,0,0.2,-13.9751980556,-0.932871149285,9
70,Hassan Whiteside,MIA,27,73,42,31,29.1,14.2,5.7,9.3,60.6,0.0,0.0,0.0,2.9,4.5,65.0,3.3,8.6,11.8,0.4,1.9,0.6,3.7,2.8,41,3,1.2,21.1633304889,-20.698106035,14
71,Jae Crowder,BOS,25,73,43,30,31.6,14.2,4.9,11.1,44.3,1.7,5.0,33.6,2.7,3.3,82.0,1.0,4.2,5.1,1.8,1.1,1.7,0.5,2.7,5,0,2.9,-12.5889568859,0.0852446514595,11
72,Jamal Crawford,LAC,36,79,51,28,26.9,14.2,4.8,11.9,40.4,1.5,4.4,34.0,3.1,3.4,90.4,0.3,1.6,1.8,2.3,1.4,0.7,0.2,1.5,0,0,2.1,-20.050071817,-3.66250294734,22
73,Goran Dragic,MIA,30,72,44,28,32.8,14.1,5.8,12.2,47.7,0.9,2.8,31.2,1.7,2.3,72.7,0.8,3.1,3.8,5.8,2.6,1.0,0.2,2.6,5,0,2.8,-3.46489993231,2.78620885099,6
74,Marcus Morris,DET,26,80,42,38,35.7,14.1,5.1,11.8,43.4,1.4,3.7,36.2,2.5,3.4,74.9,1.1,3.9,5.1,2.5,1.8,0.8,0.3,2.1,4,0,2.0,-8.13395578474,6.21908063669,6
75,Deron Williams,DAL,32,65,31,34,32.4,14.1,4.9,11.9,41.4,1.5,4.3,34.4,2.8,3.2,86.9,0.3,2.6,2.9,5.8,2.3,0.9,0.2,2.4,4,0,0.0,-17.3451143385,-1.51599477205,23
76,Jabari Parker,MIL,21,76,32,44,31.7,14.1,5.8,11.8,49.3,0.1,0.5,25.7,2.3,3.0,76.8,1.6,3.6,5.2,1.7,1.5,0.9,0.4,2.0,6,0,-2.5,-3.32907167724,-4.33889960189,14
77,Zach LaVine,MIN,21,82,29,53,28.0,14.0,5.3,11.7,45.2,1.5,3.9,38.9,2.0,2.5,79.3,0.3,2.5,2.8,3.1,1.9,0.8,0.2,2.4,0,0,-3.6,-12.9466240916,5.85622985084,3
78,Darren Collison,SAC,28,74,29,45,30.0,14.0,5.1,10.5,48.6,1.2,2.9,40.1,2.6,3.1,85.8,0.4,1.9,2.3,4.3,1.8,1.0,0.1,1.9,4,0,-0.9,-18.7609099169,2.80038304425,3
79,Draymond Green,GSW,26,81,73,8,34.7,14.0,5.0,10.1,49.0,1.2,3.2,38.8,2.8,4.1,69.6,1.7,7.8,9.5,7.4,3.2,1.5,1.4,3.0,33,13,13.2,-5.19566253038,10.4790227244,2
80,Monta Ellis,IND,30,81,44,37,33.8,13.8,5.4,12.6,42.7,1.1,3.5,30.9,2.0,2.5,78.6,0.5,2.8,3.3,4.7,2.5,1.9,0.5,2.1,1,0,1.3,-8.50914211522,-0.0345692758657,6
81,Devin Booker,PHX,19,76,20,56,27.7,13.8,4.8,11.4,42.3,1.3,3.8,34.3,2.8,3.4,84.0,0.4,2.1,2.5,2.6,2.1,0.6,0.3,3.0,3,0,-4.9,-14.4709332374,-0.169152770062,3
82,Dwight Howard,HOU,30,71,34,37,32.1,13.7,5.2,8.5,62.0,0.0,0.1,0.0,3.3,6.7,48.9,3.4,8.4,11.8,1.4,2.3,1.0,1.6,3.1,38,0,0.2,34.6575334968,-12.0518004023,16
83,Chandler Parsons,DAL,27,61,29,32,29.5,13.7,5.2,10.7,49.2,1.7,4.1,41.4,1.5,2.2,68.4,0.5,4.2,4.7,2.8,1.6,0.8,0.3,1.9,3,0,-0.1,-5.0133940512,13.3510536524,6
84,Marcin Gortat,WAS,32,75,35,40,30.1,13.5,5.8,10.2,56.7,0.0,0.0,0.0,1.9,2.8,70.5,3.0,6.9,9.9,1.4,1.6,0.6,1.3,2.6,41,0,0.8,16.2782043794,-23.1424558485,14
85,Alec Burks,UTA,24,31,13,18,25.7,13.3,4.4,10.8,41.0,1.0,2.5,40.5,3.4,4.5,75.2,0.5,3.0,3.5,2.0,1.6,0.6,0.1,2.3,0,0,-0.4,-10.6035800762,9.85308359893,3
86,D'Angelo Russell,LAL,20,80,17,63,28.2,13.2,4.9,12.0,41.0,1.6,4.6,35.1,1.8,2.4,73.7,0.6,2.8,3.4,3.3,2.5,1.2,0.2,1.8,1,0,-6.8,-6.46825522143,6.35611719477,3
87,Dahntay Jones,CLE,35,1,0,1,42.4,13.0,6.0,14.0,42.9,1.0,2.0,50.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,1.0,2.0,6.0,0,0,-1.0,46.7629363979,58.7761117237,24
88,Jarrett Jack,BKN,32,32,10,22,32.1,12.8,4.4,11.2,39.1,1.0,3.2,30.4,3.1,3.5,89.3,0.3,4.0,4.3,7.4,2.9,1.1,0.2,2.4,6,0,-4.1,-17.1344106044,-5.88964145807,3
89,Emmanuel Mudiay,DEN,20,68,29,39,30.4,12.8,4.8,13.3,36.4,1.1,3.4,31.9,2.1,3.1,67.0,0.5,2.9,3.4,5.5,3.2,1.0,0.5,2.1,4,0,-1.7,0.214901834594,7.96600613273,6
90,Robert Covington,PHI,25,67,10,57,28.4,12.8,4.1,10.6,38.5,2.5,7.2,35.3,2.1,2.6,79.1,1.0,5.3,6.3,1.4,2.1,1.6,0.6,3.5,7,0,-4.2,-11.2627557821,3.87471804294,6
91,Arron Afflalo,NYK,30,71,27,44,33.4,12.8,5.0,11.3,44.3,1.3,3.4,38.2,1.5,1.8,84.0,0.3,3.4,3.7,2.0,1.2,0.4,0.1,2.0,1,0,-2.1,-16.4680542888,2.77261070677,25
92,Jonas Valanciunas,TOR,24,60,40,20,25.9,12.8,5.1,8.9,56.5,0.0,0.0,0.0,2.7,3.6,76.1,3.1,6.1,9.1,0.7,1.4,0.4,1.3,2.6,22,0,2.4,11.6975579524,-26.2256015381,14
