,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,PC1,PC2,db_label
93,Michael Beasley,HOU,27,20,10,10,18.1,12.8,5.4,10.3,52.2,0.2,0.5,33.3,1.9,2.5,77.6,1.5,3.5,4.9,0.8,1.2,0.6,0.5,2.0,1,0,-3.4,-7.69274572368,1.09313795125,26
94,DeAndre Jordan,LAC,27,77,51,26,33.7,12.7,4.6,6.6,70.3,0.0,0.0,0.0,3.5,8.0,43.0,3.5,10.3,13.8,1.2,1.4,0.7,2.3,2.7,49,0,5.7,40.0547503924,-9.95845534585,14
95,Michael Kidd-Gilchrist,CHA,22,7,5,2,29.2,12.7,4.7,8.7,54.1,0.4,1.0,42.9,2.9,4.1,69.0,1.7,4.7,6.4,1.3,1.1,0.4,0.4,1.3,2,0,8.3,-5.92582368272,13.4323322917,14
96,Enes Kanter,OKC,24,82,55,27,21.0,12.7,5.0,8.8,57.6,0.1,0.3,47.6,2.4,3.1,79.7,3.0,5.1,8.1,0.4,1.4,0.3,0.4,2.0,25,0,1.5,-16.8230503252,10.9684809873,27
97,Trevor Ariza,HOU,31,81,40,41,35.3,12.7,4.4,10.6,41.6,2.3,6.2,37.1,1.6,2.0,78.3,0.8,3.7,4.5,2.3,1.4,2.0,0.3,2.2,1,0,0.5,-11.4939008107,5.40367576245,3
98,Ish Smith,PHI,27,77,16,61,29.1,12.6,5.2,12.6,41.1,0.7,2.2,32.9,1.6,2.3,69.3,0.6,3.4,4.0,6.5,2.3,1.1,0.3,1.7,12,0,-4.5,-1.7324079823,6.89567127907,6
99,Serge Ibaka,OKC,26,78,54,24,32.1,12.6,5.3,11.1,47.9,0.8,2.4,32.6,1.2,1.6,75.2,1.8,5.0,6.8,0.8,1.4,0.5,1.9,2.7,9,0,6.8,-6.102716179,2.42066865446,14
100,Wesley Matthews,DAL,29,78,40,38,33.9,12.5,4.2,10.9,38.8,2.4,6.7,36.0,1.6,1.9,86.3,0.3,2.7,3.1,1.9,1.0,1.0,0.2,2.3,0,0,1.3,-17.7794613922,0.493690018645,21
101,Kenneth Faried,DEN,26,67,26,41,25.3,12.5,5.2,9.3,55.8,0.0,0.0,50.0,2.0,3.3,61.3,3.5,5.2,8.7,1.2,1.4,0.5,0.9,2.5,21,0,-1.6,-2.87501651452,23.2742310711,14
102,JR Smith,CLE,30,77,53,24,30.7,12.4,4.6,11.0,41.5,2.6,6.6,40.0,0.6,0.9,63.4,0.6,2.3,2.8,1.7,0.8,1.1,0.3,2.6,1,0,4.0,-0.7956854769,16.0190070029,3
103,Luol Deng,MIA,31,74,45,29,32.4,12.3,4.6,10.1,45.5,1.2,3.5,34.4,2.0,2.6,75.5,1.5,4.5,6.0,1.9,1.1,1.0,0.4,1.6,13,0,0.4,-7.26527045308,4.08960721258,28
104,Gary Harris,DEN,21,76,31,45,32.1,12.3,4.7,10.1,46.9,1.4,3.9,35.4,1.4,1.8,82.0,0.7,2.2,2.9,1.9,1.3,1.3,0.2,1.9,0,0,-2.8,-13.0162699673,1.23279032361,3
105,Joe Johnson,MIA,35,81,31,50,33.4,12.2,4.7,10.6,43.9,1.5,3.9,38.3,1.5,1.8,83.1,0.6,3.0,3.6,3.9,2.0,0.8,0.0,1.8,3,0,-0.7,-15.8751849616,3.4193581726,3
106,Mirza Teletovic,PHX,30,79,23,56,21.3,12.2,4.2,9.8,42.7,2.3,5.8,39.3,1.5,2.0,77.4,0.7,3.1,3.8,1.1,1.1,0.4,0.3,2.0,2,0,-2.1,-11.6194986544,7.53830500261,29
107,George Hill,IND,30,74,41,33,34.1,12.1,4.4,10.0,44.1,1.7,4.2,40.8,1.5,2.0,76.0,0.8,3.2,4.0,3.5,1.4,1.1,0.2,2.0,0,0,1.3,-11.3175591109,9.3368674396,3
108,Al Jefferson,CHA,31,47,33,14,23.3,12.0,5.2,10.7,48.5,0.0,0.0,0.0,1.5,2.4,64.9,1.2,5.2,6.4,1.5,0.7,0.6,0.9,2.5,7,0,1.0,20.3853709705,-18.9756172983,14
109,Markieff Morris,WAS,26,64,22,42,25.5,12.0,4.8,11.2,42.5,0.7,2.4,30.3,1.7,2.3,73.5,1.1,4.4,5.5,1.9,2.1,0.9,0.5,2.9,2,0,-1.4,-3.57198368566,2.18059105532,9
110,Rajon Rondo,SAC,30,72,29,43,35.2,11.9,4.9,10.9,45.4,0.9,2.4,36.5,1.2,2.1,58.0,1.1,5.0,6.0,11.7,3.9,2.0,0.1,2.4,37,6,-2.1,5.85731017525,15.5182134397,6
111,Tony Parker,SAS,34,72,59,13,27.5,11.9,4.9,9.9,49.3,0.4,0.9,41.5,1.8,2.4,76.0,0.2,2.2,2.4,5.3,1.8,0.8,0.2,1.6,3,0,5.7,-11.4147918599,9.16900136424,3
112,Omri Casspi,SAC,28,69,27,42,27.3,11.8,4.3,9.0,48.1,1.6,4.0,40.9,1.5,2.3,64.8,0.8,5.1,5.9,1.4,1.4,0.8,0.2,2.2,6,0,0.1,-1.61501480744,14.9871445065,30
113,Nikola Mirotic,CHI,25,66,37,29,24.9,11.8,3.8,9.2,40.7,2.0,5.2,39.0,2.2,2.7,80.7,0.9,4.6,5.5,1.5,1.5,0.9,0.7,2.3,5,0,0.6,-14.3689943248,5.6757768347,6
114,CJ Miles,IND,29,64,34,30,22.9,11.8,4.0,9.9,40.9,2.2,6.0,36.7,1.5,1.9,75.0,0.4,2.3,2.7,1.0,1.1,0.8,0.5,2.2,0,0,0.0,-8.42106773153,6.95557584517,29
115,Jeff Green,LAC,29,80,48,32,28.2,11.7,4.4,10.3,43.0,0.8,2.7,31.5,2.1,2.8,74.5,0.9,3.2,4.2,1.7,1.2,0.7,0.5,2.1,1,0,-0.5,-4.96329058628,2.55704029765,28
116,Harrison Barnes,GSW,24,66,59,7,30.9,11.7,4.5,9.6,46.6,1.2,3.2,38.3,1.5,2.0,76.1,1.2,3.8,4.9,1.8,0.9,0.6,0.2,2.1,1,0,6.9,-9.94147966899,6.82460321339,28
117,Jeremy Lin,CHA,27,78,47,31,26.3,11.7,3.8,9.3,41.2,1.0,2.9,33.6,3.1,3.7,81.5,0.5,2.7,3.2,3.0,1.9,0.7,0.5,2.1,1,0,1.1,-12.0622777326,0.674298769666,3
118,Marvin Williams,CHA,30,81,47,34,28.9,11.7,4.2,9.2,45.2,1.9,4.7,40.2,1.5,1.8,83.3,1.6,4.9,6.4,1.4,0.8,0.7,1.0,1.6,10,0,3.1,-16.9280584801,4.64357366695,28
119,Kent Bazemore,ATL,26,75,44,31,27.8,11.6,4.3,9.7,44.1,1.5,4.1,35.7,1.6,2.0,81.5,0.4,4.7,5.1,2.3,1.8,1.3,0.5,2.3,1,0,1.0,-13.0796321552,2.0774038572,6
120,Otto Porter Jr.,WAS,23,75,36,39,30.3,11.6,4.5,9.6,47.3,1.3,3.6,36.7,1.3,1.7,75.4,1.3,3.9,5.2,1.6,0.9,1.4,0.4,2.2,5,0,0.6,-8.24843470426,5.82264172108,28
121,Michael Carter-Williams,MIL,24,54,21,33,30.5,11.5,4.6,10.3,45.2,0.3,1.0,27.3,2.0,3.0,66.3,0.9,4.2,5.1,5.2,2.8,1.5,0.8,3.0,6,0,-2.4,4.25935296637,3.278626382,31
122,Jordan Hamilton,NOP,25,11,4,7,27.6,11.4,4.5,10.5,42.2,1.2,4.1,28.9,1.3,1.9,66.7,1.1,4.5,5.6,2.3,1.5,0.7,0.3,2.2,1,0,-5.8,2.95021066405,4.84746131231,28
123,Julius Randle,LAL,21,81,17,64,28.2,11.3,4.4,10.3,42.9,0.1,0.4,27.8,2.4,3.3,71.5,2.1,8.1,10.2,1.8,1.8,0.7,0.4,3.0,34,1,-8.4,-0.127357746438,1.02849032576,14
124,Bojan Bogdanovic,BKN,27,79,21,58,26.8,11.2,4.1,9.5,43.3,1.6,4.3,38.2,1.4,1.7,83.3,0.5,2.8,3.2,1.3,1.5,0.4,0.1,1.5,1,0,-4.9,-15.6983556408,3.27777283175,25
125,Nerlens Noel,PHI,22,67,10,57,29.3,11.1,4.6,8.8,52.1,0.0,0.0,50.0,2.0,3.4,59.0,2.3,5.8,8.1,1.8,2.4,1.8,1.5,2.9,16,0,-6.9,-1.01193443503,25.014708253,10
126,Sean Kilpatrick,BKN,26,31,7,24,19.9,11.1,4.0,8.7,45.6,1.3,3.7,34.2,1.9,2.2,89.6,0.4,1.4,1.8,0.9,1.0,0.4,0.1,1.2,0,0,-4.7,-18.5208573373,-3.79885488755,25
127,DeMarre Carroll,TOR,29,26,16,10,30.2,11.0,4.0,10.4,38.9,1.8,4.5,39.0,1.2,1.9,60.0,1.2,3.5,4.7,1.0,1.1,1.7,0.2,2.4,0,0,1.7,2.65384671722,17.2786765845,3
128,Dennis Schroder,ATL,22,80,47,33,20.3,11.0,4.1,9.8,42.1,1.0,3.0,32.2,1.8,2.3,79.1,0.3,2.2,2.6,4.4,2.3,0.9,0.1,1.7,2,0,2.8,-9.39821636143,0.768702444041,22
129,Isaiah Canaan,PHI,25,77,10,67,25.5,11.0,3.4,9.4,36.0,2.3,6.3,36.3,1.9,2.3,83.3,0.3,2.0,2.3,1.8,1.2,0.7,0.2,1.7,0,0,-6.3,-15.1881101258,2.71070828983,17
130,TJ Warren,PHX,22,47,14,33,22.8,11.0,4.7,9.4,50.1,0.6,1.5,40.0,1.0,1.4,70.3,1.2,1.9,3.1,0.9,0.7,0.8,0.3,2.0,1,0,-2.4,-5.33433761182,10.9390764524,32
131,J.J. Barea,DAL,32,74,38,36,22.5,10.9,4.3,9.6,44.6,1.4,3.5,38.5,1.0,1.3,77.1,0.4,1.7,2.1,4.1,1.5,0.4,0.0,1.5,2,0,-1.0,-10.8065808005,6.77536173316,25
132,Elfrid Payton,ORL,22,73,32,41,29.4,10.7,4.4,10.0,43.6,0.4,1.3,32.6,1.5,2.6,58.9,1.1,2.5,3.6,6.4,2.4,1.2,0.3,2.2,14,1,-0.9,7.40646949808,11.9489733035,28
133,Trey Burke,UTA,23,64,31,33,21.3,10.6,4.1,9.9,41.3,1.4,4.0,34.4,1.0,1.3,81.7,0.3,1.5,1.8,2.3,1.3,0.5,0.1,1.3,0,0,0.0,-12.6534360868,1.29428454102,17
134,Norris Cole,NOP,27,45,20,25,26.6,10.6,4.4,10.8,40.5,0.7,2.3,32.4,1.2,1.4,80.0,0.2,3.1,3.4,3.7,1.7,0.8,0.1,2.3,2,0,-2.3,-10.1940444512,0.641197687596,22
135,Evan Turner,BOS,27,81,47,34,28.0,10.5,4.2,9.3,45.6,0.2,1.0,24.1,1.8,2.2,82.7,0.6,4.3,4.9,4.4,2.1,1.0,0.3,1.7,4,0,1.2,-7.6127358908,-8.43366566876,28
136,Shabazz Muhammad,MIN,23,82,29,53,20.5,10.5,3.9,8.3,46.5,0.5,1.9,28.9,2.3,3.0,76.4,1.2,2.0,3.3,0.6,0.9,0.3,0.1,1.1,0,0,-3.3,-4.54999583329,-1.13943852803,33
137,Jerryd Bayless,MIL,27,52,21,31,28.9,10.4,3.6,8.4,42.3,1.9,4.4,43.7,1.3,1.7,77.8,0.4,2.3,2.7,3.1,1.4,0.9,0.2,2.1,1,0,-3.6,-14.1517952599,10.9633195223,22
138,Ersan Ilyasova,ORL,29,74,35,39,25.4,10.4,3.8,8.9,42.4,1.3,3.5,37.1,1.5,2.1,72.1,1.9,3.5,5.4,0.9,1.0,0.7,0.4,2.3,4,0,-1.8,-5.83629917083,8.55489215585,24
139,Myles Turner,IND,20,60,32,28,22.8,10.3,4.4,8.8,49.8,0.1,0.2,21.4,1.5,2.0,72.7,1.1,4.4,5.5,0.7,1.1,0.4,1.4,2.6,4,0,-1.2,2.73504328794,-5.7870484408,34
140,Jared Sullinger,BOS,24,81,47,34,23.6,10.3,4.3,10.0,43.5,0.4,1.3,28.2,1.3,2.0,64.0,2.4,5.9,8.3,2.3,1.3,0.9,0.6,2.6,25,0,2.6,5.5575209829,5.4410766162,14
141,Mario Chalmers,MIA,30,61,38,23,22.5,10.3,3.0,7.3,41.0,0.8,2.4,30.9,3.6,4.3,83.2,0.4,2.2,2.6,3.8,1.8,1.4,0.2,3.0,0,0,1.3,-11.8613559077,-2.50692625082,3
142,Allen Crabbe,POR,24,81,43,38,26.0,10.3,3.8,8.4,45.9,1.4,3.5,39.3,1.2,1.4,86.7,0.3,2.3,2.7,1.2,0.8,0.8,0.2,2.4,0,0,0.5,-18.9835295181,1.94432588822,25
143,Robin Lopez,NYK,28,82,32,50,27.1,10.3,4.4,8.1,53.9,0.0,0.0,0.0,1.6,2.0,79.5,3.3,4.1,7.3,1.4,1.6,0.2,1.6,2.2,15,0,-1.2,8.93354236787,-27.7345193977,14
144,Marco Belinelli,SAC,30,68,27,41,24.6,10.2,3.6,9.3,38.6,1.3,4.4,30.6,1.7,2.0,83.3,0.1,1.6,1.7,1.9,1.2,0.5,0.0,1.3,0,0,-2.8,-11.9686792082,-2.38108234363,17
145,Al-Farouq Aminu,POR,25,82,44,38,28.5,10.2,3.6,8.8,41.6,1.5,4.3,36.1,1.4,1.9,73.7,1.2,4.9,6.1,1.7,1.5,0.9,0.6,2.1,8,0,0.7,-6.84223160939,6.97403419904,6
146,Gorgui Dieng,MIN,26,82,29,53,27.1,10.1,3.8,7.1,53.2,0.1,0.2,30.0,2.5,3.0,82.7,1.9,5.2,7.1,1.7,1.7,1.1,1.2,2.7,15,0,-0.1,-9.93990832804,-4.6583263522,14
147,Ricky Rubio,MIN,25,76,28,48,30.6,10.1,2.9,7.7,37.4,0.8,2.5,32.6,3.5,4.1,84.7,0.5,3.8,4.3,8.7,2.5,2.1,0.1,2.6,14,0,0.2,-14.4281202011,-1.42688151987,3
148,Matt Barnes,MEM,36,76,38,38,28.8,10.0,3.5,9.1,38.1,1.6,4.9,32.2,1.5,1.8,80.4,1.1,4.4,5.5,2.1,1.6,1.0,0.8,3.1,7,1,-2.8,-10.4741301909,0.564868186162,30
149,Kelly Olynyk,BOS,25,69,40,29,20.2,10.0,3.7,8.1,45.5,1.2,3.0,40.5,1.4,1.9,75.0,1.0,3.0,4.1,1.5,1.1,0.8,0.5,2.4,1,0,3.2,-9.98415937991,9.35876706507,28
150,Nikola Jokic,DEN,21,80,31,49,21.7,10.0,3.8,7.5,51.2,0.4,1.1,33.3,1.9,2.4,81.1,2.3,4.7,7.0,2.4,1.3,1.0,0.6,2.6,16,0,1.2,-10.6420998548,-0.752220318413,31
151,Ramon Sessions,WAS,30,82,41,41,20.3,9.9,3.4,7.2,47.3,0.4,1.4,32.4,2.6,3.5,75.6,0.3,2.2,2.5,2.9,1.4,0.6,0.1,1.2,3,0,-0.7,-5.78195685657,2.06814771083,29
152,Terrence Ross,TOR,25,73,53,20,23.9,9.9,3.7,8.6,43.1,1.8,4.6,38.8,0.7,0.8,79.0,0.3,2.2,2.5,0.8,0.6,0.7,0.3,1.6,1,0,3.4,-12.6337109348,6.14847906946,25
153,Patrick Beverley,HOU,27,71,35,36,28.7,9.9,3.6,8.4,43.4,1.7,4.4,40.0,0.8,1.2,68.2,1.0,2.5,3.5,3.4,1.3,1.3,0.4,3.3,1,0,1.9,-4.29831417021,13.0281487278,3
154,Hollis Thompson,PHI,25,77,10,67,28.0,9.8,3.5,8.8,39.7,1.9,5.1,38.0,0.9,1.2,71.9,0.7,2.8,3.5,1.3,1.0,0.5,0.3,2.4,0,0,-4.8,-6.29361032912,9.83602484978,29
155,Dion Waiters,OKC,24,78,53,25,27.6,9.8,3.6,9.1,39.9,1.1,3.1,35.8,1.4,2.0,71.3,0.5,2.1,2.6,2.0,1.5,1.0,0.2,1.8,0,0,2.7,-4.82617393086,8.26604474802,3
156,Carl Landry,PHI,32,36,5,31,15.8,9.8,3.9,6.9,55.6,0.2,0.4,46.2,1.9,2.5,73.6,1.4,2.7,4.1,0.9,0.6,0.3,0.3,1.9,0,0,-3.1,-10.7783065893,13.4379726388,35
157,Gary Neal,WAS,31,40,18,22,20.2,9.8,3.8,8.1,46.5,1.0,2.5,41.0,1.2,1.4,85.5,0.3,1.8,2.1,1.2,0.7,0.5,0.0,1.4,0,0,-4.1,-18.6176209993,3.90308826974,36
158,Jerami Grant,PHI,22,77,9,68,26.8,9.7,3.3,7.8,41.9,0.5,1.9,24.0,2.8,4.2,65.8,1.3,3.4,4.7,1.8,1.4,0.7,1.6,2.8,3,0,-6.4,6.7075120081,1.18620469462,14
159,Marcus Thornton,WAS,29,61,32,29,18.2,9.7,3.5,8.9,39.9,1.5,4.4,33.7,1.1,1.3,84.8,0.6,1.8,2.5,1.4,0.8,0.8,0.1,1.5,0,0,0.7,-14.8548626564,-0.829312241334,25
160,Courtney Lee,CHA,30,79,49,30,29.6,9.6,3.7,8.1,45.4,1.0,2.7,37.8,1.3,1.5,83.9,0.4,2.2,2.6,1.7,0.9,1.1,0.4,1.7,0,0,1.9,-15.8747460123,2.27535347803,3
161,Manu Ginobili,SAS,38,58,47,11,19.6,9.6,3.4,7.5,45.3,1.2,3.1,39.1,1.6,1.9,81.3,0.4,2.1,2.5,3.1,1.7,1.1,0.2,1.7,0,0,5.7,-14.5779766924,4.79304772757,3
162,Raymond Felton,DAL,32,80,40,40,27.4,9.5,3.5,8.5,40.6,0.8,2.7,28.2,1.9,2.2,84.7,0.5,2.8,3.2,3.6,1.5,0.9,0.2,1.8,3,1,-0.8,-11.689883851,-5.46175185516,3
163,Doug McDermott,CHI,24,81,41,40,23.0,9.4,3.6,8.0,45.2,1.4,3.2,42.5,0.9,1.0,85.7,0.5,2.0,2.4,0.7,0.7,0.2,0.1,1.6,0,0,-0.8,-19.7877890164,5.20460158242,37
164,Kevin Martin,SAS,33,55,24,31,19.9,9.3,2.8,7.6,37.2,0.9,2.5,36.0,2.8,3.1,89.0,0.3,1.7,2.0,1.1,1.0,0.5,0.1,1.5,0,0,-2.2,-19.449825769,-0.993861886994,17
165,Derrick Williams,NYK,25,80,32,48,17.9,9.3,3.2,7.1,45.0,0.6,1.9,29.3,2.4,3.2,75.8,0.6,3.1,3.7,0.9,0.8,0.4,0.1,0.9,4,0,-2.6,-4.29398245151,-0.320826269511,33
166,Ian Mahinmi,IND,29,71,41,30,25.6,9.3,3.7,6.3,58.9,0.0,0.0,0.0,1.9,3.2,58.7,1.9,5.2,7.1,1.5,1.4,0.9,1.1,3.1,9,0,1.6,26.5590061525,-17.0004234642,14
167,Kyle Korver,ATL,35,80,46,34,30.0,9.2,3.4,7.7,43.4,2.0,5.0,39.8,0.6,0.7,83.3,0.2,3.1,3.3,2.1,1.2,0.8,0.4,2.0,0,0,5.3,-16.7859303272,4.57133186357,25
168,Aaron Gordon,ORL,20,78,32,46,23.9,9.2,3.5,7.4,47.3,0.5,1.8,29.6,1.7,2.5,66.8,2.0,4.5,6.5,1.6,0.8,0.8,0.7,2.0,12,0,-1.0,3.08259440596,4.55386470679,14
169,Nene,WAS,33,57,28,29,19.2,9.2,3.7,6.7,54.4,0.0,0.1,0.0,1.9,3.2,57.8,0.9,3.6,4.5,1.7,1.3,0.9,0.5,2.7,1,0,0.6,27.016793794,-15.8896298119,14
170,Jordan Farmar,MEM,29,12,2,10,24.3,9.2,3.5,8.3,42.0,1.3,3.8,35.6,0.8,0.8,100.0,0.3,1.8,2.1,3.1,1.5,1.3,0.2,1.8,0,0,-5.3,-28.1512804361,-7.86522678729,38
171,Marcus Smart,BOS,22,61,36,25,27.3,9.1,3.0,8.7,34.8,1.0,4.0,25.3,2.1,2.7,77.7,1.2,2.9,4.2,3.0,1.3,1.5,0.3,3.0,2,1,1.4,-4.80978665614,-3.25331347004,6
172,Mason Plumlee,POR,26,82,44,38,25.4,9.1,3.3,6.3,51.6,0.0,0.0,0.0,2.6,4.1,64.2,2.5,5.2,7.7,2.8,1.9,0.8,1.0,3.1,15,0,0.4,21.5239614056,-19.0937715461,16
173,Rudy Gobert,UTA,24,61,33,28,31.7,9.1,3.2,5.8,55.9,0.0,0.0,0.0,2.6,4.6,56.9,3.4,7.5,11.0,1.5,1.9,0.7,2.2,2.7,20,0,2.5,27.8637051663,-15.7057989103,14
174,Alex Len,PHX,23,78,23,55,23.3,9.0,3.4,8.0,42.3,0.0,0.1,14.3,2.2,3.1,72.8,2.3,5.3,7.6,1.2,1.9,0.5,0.8,2.9,19,0,-3.7,6.14403761176,-10.7921192827,14
175,Gerald Green,MIA,30,69,40,29,22.6,8.9,3.3,8.5,39.2,1.2,3.8,32.3,1.0,1.3,78.3,0.4,2.0,2.4,0.8,0.7,0.6,0.3,1.8,0,0,0.7,-8.64996697417,1.63483964593,29
176,Rodney Stuckey,IND,30,58,33,25,22.0,8.9,3.2,7.6,41.3,0.3,1.4,24.1,2.3,2.7,82.9,0.3,2.4,2.7,2.4,1.3,0.7,0.1,1.3,0,0,0.2,-7.78826528774,-8.01805249934,39
177,Archie Goodwin,PHX,21,57,14,43,19.5,8.9,3.1,7.4,41.7,0.4,1.7,23.2,2.3,3.4,67.4,0.5,2.0,2.5,2.1,1.8,0.5,0.2,1.5,1,0,-3.7,5.74580807763,-0.304691592303,29
178,Austin Rivers,LAC,23,67,42,25,21.8,8.9,3.4,7.7,43.8,0.9,2.8,33.5,1.2,1.7,68.1,0.3,1.6,1.9,1.5,0.9,0.7,0.1,2.0,0,0,-2.4,-0.328974764624,7.60316966943,29
179,Jordan Hill,IND,28,73,40,33,20.7,8.8,3.8,7.5,50.6,0.0,0.0,0.0,1.2,1.7,71.2,2.1,4.0,6.2,1.2,1.3,0.5,0.5,2.1,9,0,0.7,15.6213431917,-22.7562591581,40
180,Jeremy Lamb,CHA,24,66,40,26,18.6,8.8,3.5,7.7,45.1,0.8,2.7,30.9,1.0,1.3,72.7,0.7,3.2,3.8,1.2,0.8,0.6,0.5,1.6,1,0,2.3,-2.81916787413,2.73517449171,24
181,Cody Zeller,CHA,23,73,42,31,24.3,8.7,3.2,6.0,52.9,0.0,0.1,10.0,2.4,3.2,75.4,1.9,4.3,6.2,1.0,0.9,0.8,0.9,2.8,5,0,2.2,6.95106334955,-17.1474335796,14
182,Luis Scola,TOR,36,76,50,26,21.5,8.7,3.5,7.9,45.0,0.9,2.1,40.4,0.8,1.1,72.6,1.1,3.6,4.8,0.9,0.9,0.6,0.4,2.3,3,0,-0.3,-7.74389461283,10.6218139124,41
183,Tyler Johnson,MIA,24,36,19,17,24.0,8.7,3.3,6.8,48.6,0.8,2.0,38.0,1.4,1.8,79.7,0.8,2.3,3.0,2.2,1.3,0.7,0.4,1.8,0,0,0.3,-12.0985955737,4.28614449969,29
184,Toney Douglas,NOP,30,61,22,39,20.7,8.7,3.0,7.3,41.1,1.3,3.3,39.9,1.4,1.6,84.8,0.4,1.9,2.3,2.6,1.0,1.1,0.1,2.1,1,0,-2.3,-17.8570925337,4.08053376352,17
185,Terrence Jones,HOU,24,50,24,26,20.9,8.7,3.3,7.3,45.2,0.5,1.6,31.6,1.5,2.3,66.4,1.2,3.0,4.2,0.8,1.0,0.5,0.8,1.7,0,0,-4.8,2.39323193837,6.70505432924,42
186,Gerald Henderson,POR,28,72,39,33,19.9,8.7,3.2,7.3,43.9,0.7,1.9,35.3,1.6,2.0,76.7,0.4,2.5,2.9,1.0,0.9,0.5,0.3,1.2,0,0,0.3,-8.44371992188,4.29593862423,43
187,Shelvin Mack,UTA,26,52,27,25,20.3,8.6,3.5,8.0,43.9,0.8,2.4,31.2,0.9,1.2,73.8,0.3,2.2,2.5,3.6,1.8,0.7,0.1,1.4,3,0,1.9,-4.05594544933,2.56895265399,25
