,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,PC1,PC2,db_label
188,Taj Gibson,CHI,31,73,37,36,26.5,8.6,3.6,6.8,52.6,0.0,0.0,0.0,1.4,2.0,69.2,2.8,4.1,6.9,1.5,1.1,0.6,1.1,2.5,7,0,-2.1,17.5671392849,-21.9344018506,44
189,Tim Duncan,SAS,40,61,50,11,25.2,8.6,3.5,7.2,48.8,0.0,0.0,0.0,1.5,2.1,70.2,1.9,5.4,7.3,2.7,1.5,0.8,1.3,2.0,11,0,7.0,16.0840057034,-22.0017189068,14
190,Zaza Pachulia,DAL,32,76,40,36,26.4,8.6,2.9,6.2,46.6,0.0,0.0,0.0,2.8,3.6,76.8,3.3,6.2,9.4,1.7,1.6,0.8,0.3,2.4,26,0,0.0,10.8111535567,-25.395881214,14
191,Patty Mills,SAS,27,81,66,15,20.5,8.5,3.2,7.6,42.5,1.5,4.0,38.4,0.6,0.7,81.0,0.3,1.6,2.0,2.8,0.9,0.7,0.1,1.3,0,0,4.7,-14.099770425,4.78147318653,45
192,Jon Leuer,PHX,27,67,22,45,18.7,8.5,3.3,7.0,48.1,0.6,1.6,38.2,1.1,1.5,76.2,1.1,4.4,5.6,1.1,1.1,0.6,0.4,1.9,10,0,-1.0,-9.24719118859,6.39357267431,24
193,Cory Joseph,TOR,24,80,54,26,25.6,8.5,3.2,7.3,43.9,0.4,1.4,27.3,1.7,2.2,76.4,0.5,2.1,2.6,3.1,1.3,0.8,0.3,1.6,0,0,3.4,-4.04135628186,-2.14043345345,28
194,Nik Stauskas,PHI,22,73,8,65,24.8,8.5,2.9,7.5,38.5,1.5,4.5,32.6,1.2,1.6,77.1,0.3,2.2,2.5,1.9,1.3,0.6,0.3,1.6,0,0,-5.5,-7.63227539248,2.64635815982,25
195,Meyers Leonard,POR,24,61,33,28,21.8,8.4,3.2,7.1,44.8,1.4,3.7,37.7,0.6,0.8,76.1,0.8,4.3,5.1,1.5,1.3,0.1,0.3,3.0,4,0,1.6,-9.31003317366,6.53321471588,29
196,Tony Wroten,NYK,23,8,0,8,18.0,8.4,2.8,8.1,33.8,0.4,2.1,17.6,2.5,4.6,54.1,0.3,2.4,2.6,2.5,3.6,0.4,0.0,1.4,0,0,-8.5,19.3558393435,3.39727597599,29
197,Tony Allen,MEM,34,64,34,30,25.3,8.4,3.4,7.3,45.8,0.2,0.7,35.7,1.4,2.2,65.2,1.6,3.0,4.6,1.1,1.2,1.7,0.3,2.7,1,0,-1.4,1.13131555407,10.6430889326,14
198,Lance Stephenson,MEM,25,69,36,33,19.9,8.3,3.3,6.9,48.1,0.4,1.1,38.5,1.3,1.6,78.4,0.6,2.7,3.2,1.9,1.4,0.6,0.1,2.0,1,0,-0.9,-11.2317764184,5.44793301539,29
199,Mo Williams,CLE,33,41,27,14,18.2,8.2,3.2,7.4,43.7,0.9,2.5,35.3,0.9,1.0,90.5,0.1,1.6,1.8,2.4,1.4,0.3,0.1,1.5,0,0,-1.2,-19.9499740432,-3.19069736278,36
200,Jusuf Nurkic,DEN,21,32,14,18,17.1,8.2,3.2,7.6,41.7,0.0,0.1,0.0,1.9,3.1,61.6,2.0,3.4,5.5,1.3,1.7,0.8,1.4,2.8,4,0,-0.2,23.0488132885,-16.3626786952,14
201,Lance Thomas,NYK,28,59,25,34,22.3,8.2,2.9,6.5,44.2,0.7,1.8,40.4,1.7,2.0,85.7,0.6,1.6,2.2,0.9,1.0,0.4,0.1,1.8,0,0,-0.7,-18.5293700477,3.5180239099,29
202,Stanley Johnson,DET,20,73,37,36,23.1,8.1,3.1,8.2,37.5,0.9,2.8,30.7,1.1,1.4,78.4,0.8,3.4,4.2,1.6,1.6,0.8,0.2,2.4,3,0,-1.9,-7.8499280315,0.427610082122,29
203,PJ Tucker,PHX,31,82,23,59,31.0,8.0,2.9,7.1,41.1,0.8,2.5,33.0,1.3,1.7,74.6,2.0,4.2,6.2,2.2,1.4,1.3,0.2,2.5,7,0,-4.3,-5.52329997595,3.90776598218,28
204,Steven Adams,OKC,22,80,54,26,25.2,8.0,3.3,5.3,61.3,0.0,0.0,0.0,1.4,2.5,58.2,2.7,3.9,6.7,0.8,1.1,0.5,1.1,2.8,6,0,6.0,27.1211523449,-17.0535834541,46
205,Joffrey Lauvergne,DEN,24,59,24,35,17.6,7.9,3.3,6.4,51.3,0.2,0.9,24.5,1.1,1.2,89.9,1.3,3.6,4.9,0.9,0.9,0.2,0.3,1.9,5,0,-3.7,-12.8509864666,-12.8584107273,35
206,Jared Dudley,WAS,30,81,40,41,25.9,7.9,2.9,6.0,47.8,1.2,2.9,42.0,0.9,1.2,73.5,0.7,2.9,3.5,2.1,1.0,0.9,0.2,2.3,0,0,0.8,-9.12536093732,11.1023095975,29
207,Tristan Thompson,CLE,25,82,57,25,27.7,7.8,3.0,5.1,58.8,0.0,0.0,0.0,1.8,3.0,61.6,3.3,5.7,9.0,0.8,0.7,0.5,0.6,2.5,23,0,4.4,24.2044119717,-18.632217095,46
208,O.J. Mayo,MIL,28,41,17,24,26.6,7.8,2.9,7.8,37.1,1.3,4.0,32.1,0.8,1.0,77.5,0.3,2.2,2.6,2.9,1.8,1.2,0.2,3.1,0,0,-1.4,-7.95942890183,2.19288618961,22
209,Ben McLemore,SAC,23,68,28,40,21.2,7.8,2.9,6.7,42.9,1.0,2.7,36.2,1.1,1.5,71.8,0.5,1.7,2.2,1.2,1.5,0.8,0.1,2.1,0,0,0.3,-4.90227081331,7.88311885466,29
210,David Lee,DAL,33,55,27,28,16.4,7.8,3.2,6.1,53.1,0.0,0.0,0.0,1.3,1.7,76.3,1.8,3.7,5.5,1.5,1.2,0.4,0.5,2.1,4,0,-1.5,11.7355201538,-25.8882529779,47
211,Wayne Ellington,BKN,28,76,18,58,21.3,7.7,2.9,7.4,38.9,1.3,3.5,35.8,0.7,0.8,85.7,0.3,2.0,2.3,1.1,0.6,0.6,0.1,1.1,0,0,-4.2,-16.4166225255,0.485159389331,48
212,Jameer Nelson,DEN,34,39,12,27,26.6,7.7,2.9,7.9,36.8,1.1,3.7,29.9,0.8,0.9,85.7,0.5,2.5,2.9,4.9,1.7,0.6,0.1,2.6,0,0,-3.4,-13.5930102596,-4.07610020334,17
213,Langston Galloway,NYK,24,82,32,50,24.8,7.6,2.8,7.2,39.3,0.9,2.7,34.4,1.0,1.4,75.4,0.5,3.0,3.5,2.5,0.7,0.9,0.3,2.2,1,0,-1.3,-7.17657981965,4.8895717334,29
214,Devin Harris,DAL,33,64,35,29,20.0,7.6,2.6,5.8,44.7,0.8,2.5,32.9,1.6,2.2,72.1,0.3,1.9,2.2,1.8,1.0,0.9,0.2,1.9,0,0,-1.4,-3.13657124524,4.74337824221,29
215,Jose Calderon,NYK,34,72,29,43,28.1,7.6,2.9,6.3,45.9,1.2,2.8,41.4,0.6,0.7,87.5,0.3,2.9,3.2,4.1,1.2,0.9,0.1,1.9,1,0,-1.0,-20.5824979737,3.20052345292,17
216,D.J. Augustin,DEN,28,62,35,27,19.0,7.5,2.4,5.6,42.3,1.1,2.7,40.5,1.7,2.1,80.5,0.1,1.4,1.5,3.2,1.4,0.6,0.1,1.4,2,0,-0.5,-14.4299792966,6.73245626076,17
217,Darrell Arthur,DEN,28,70,26,44,21.7,7.5,3.2,7.0,45.2,0.6,1.7,38.5,0.6,0.8,75.5,1.2,3.0,4.2,1.4,0.9,0.8,0.7,2.6,2,0,-0.7,-9.00452510428,7.41821615963,24
218,E'Twaun Moore,CHI,27,59,29,30,21.4,7.5,3.2,6.6,48.1,0.8,1.8,45.2,0.4,0.6,62.9,0.3,1.9,2.3,1.7,0.9,0.6,0.3,1.7,0,0,-0.6,-1.93859438837,19.5149645914,29
219,Matthew Dellavedova,CLE,25,76,54,22,24.6,7.5,2.7,6.7,40.5,1.3,3.1,41.0,0.8,0.9,86.4,0.4,1.7,2.1,4.4,1.5,0.6,0.1,2.3,1,0,5.0,-20.0516571075,4.17936902985,17
220,Frank Kaminsky,CHA,23,81,47,34,21.1,7.5,2.7,6.5,41.0,0.8,2.5,33.7,1.3,1.8,73.0,0.9,3.3,4.1,1.2,0.7,0.5,0.5,1.6,1,0,-0.2,-4.62055303732,5.36458573187,49
221,JaMychal Green,MEM,26,78,39,39,18.5,7.4,2.9,6.3,46.5,0.2,0.6,33.3,1.3,1.8,75.2,1.8,3.0,4.8,0.9,1.1,0.6,0.4,2.4,7,0,-0.6,-5.75093847462,3.05696677899,42
222,Jodie Meeks,DET,28,3,3,0,14.5,7.3,2.3,6.7,35.0,1.3,3.0,44.4,1.3,1.3,100.0,0.3,1.3,1.7,1.0,0.3,0.0,0.0,0.7,0,0,3.0,-33.3287071235,0.190089673496,50
223,Amir Johnson,BOS,29,79,45,34,22.8,7.3,3.2,5.4,58.5,0.1,0.5,23.3,0.9,1.5,57.0,2.3,4.1,6.4,1.7,1.2,0.7,1.1,2.7,8,0,1.7,15.4908917178,3.23229539652,14
224,Garrett Temple,WAS,30,80,40,40,24.4,7.3,2.5,6.3,39.8,1.1,3.2,34.5,1.1,1.6,72.8,0.5,2.2,2.7,1.8,0.8,0.9,0.2,2.4,0,0,-0.5,-4.98329116686,6.33246761368,29
225,Nick Young,LAL,31,54,13,41,19.1,7.3,2.3,6.9,33.9,1.4,4.4,32.5,1.2,1.4,82.9,0.3,1.5,1.8,0.6,0.6,0.4,0.1,0.9,0,0,-3.7,-12.6228651623,-0.0556254540722,37
226,Shane Larkin,BKN,23,78,20,58,22.4,7.3,2.8,6.4,44.2,0.5,1.4,36.1,1.1,1.4,77.6,0.4,1.9,2.3,4.4,1.9,1.2,0.2,1.6,0,0,-4.4,-9.44189504959,4.44217150708,51
227,Danny Green,SAS,29,79,65,14,26.1,7.2,2.7,7.1,37.6,1.5,4.4,33.2,0.4,0.6,73.9,0.6,3.2,3.8,1.8,0.9,1.0,0.8,1.8,0,0,6.4,-5.7003424937,4.97443959588,29
228,James Ennis III,NOP,25,22,11,11,14.9,7.2,2.5,5.1,47.8,1.2,2.6,44.8,1.1,1.5,73.5,1.0,1.0,1.9,1.0,0.9,0.7,0.2,1.3,0,0,-2.0,-10.3853796159,13.3928797515,29
229,Corey Brewer,HOU,30,82,41,41,20.4,7.2,2.6,6.7,38.4,0.7,2.7,27.2,1.3,1.7,75.0,0.5,1.9,2.4,1.3,1.0,1.0,0.2,2.0,0,0,-1.1,-2.94364825223,-0.730011188932,29
230,Jason Smith,ORL,30,76,33,43,15.5,7.2,3.2,6.6,48.5,0.1,0.2,25.0,0.7,0.9,80.6,0.7,2.2,2.9,0.8,0.8,0.4,0.9,2.1,1,0,-0.5,-5.63844598931,-6.99061350742,35
231,Brandon Bass,LAL,31,66,16,50,20.3,7.2,2.6,4.8,54.9,0.0,0.0,0.0,1.9,2.2,84.5,1.6,2.7,4.3,1.1,0.6,0.5,0.8,1.9,0,0,-0.3,5.12769100277,-30.6400435103,47
232,Mike Dunleavy,CHI,35,31,13,18,22.7,7.2,2.5,6.1,41.0,1.3,3.2,39.4,0.9,1.2,78.4,0.3,2.4,2.7,1.3,0.8,0.5,0.3,2.1,0,0,-2.1,-12.1081283022,7.14685448763,29
233,Tyson Chandler,PHX,33,66,18,48,24.5,7.2,2.8,4.8,58.3,0.0,0.0,0.0,1.6,2.6,62.0,2.7,6.1,8.7,1.0,1.4,0.5,0.7,2.2,20,0,-6.0,24.2155810335,-18.7724265911,46
234,Aaron Brooks,CHI,31,69,36,33,16.1,7.1,2.7,6.8,40.1,1.0,2.7,35.7,0.7,0.9,76.6,0.3,1.2,1.5,2.6,1.2,0.4,0.1,1.9,0,0,-0.1,-8.81798275153,5.21904056732,37
235,Marreese Speights,GSW,28,72,64,8,11.6,7.1,2.7,6.3,43.2,0.3,0.9,38.7,1.3,1.6,82.5,1.1,2.3,3.3,0.8,0.9,0.3,0.5,1.6,1,0,0.1,-14.9619410029,3.94978761263,49
236,David West,SAS,35,78,63,15,18.0,7.1,3.1,5.7,54.5,0.0,0.1,42.9,0.8,1.0,78.8,0.9,3.0,4.0,1.8,0.9,0.6,0.7,1.8,1,0,4.2,-13.5306066279,7.97807820266,52
237,Clint Capela,HOU,22,77,39,38,19.1,7.0,3.0,5.2,58.2,0.0,0.0,0.0,1.0,2.7,37.9,2.5,3.9,6.4,0.6,0.8,0.8,1.2,2.5,10,0,1.3,43.9871374817,-5.51964883785,46
238,Bobby Portis,CHI,21,62,29,33,17.8,7.0,3.0,7.0,42.7,0.3,0.8,30.8,0.8,1.1,72.7,2.0,3.5,5.4,0.8,0.9,0.4,0.4,1.6,6,0,-2.9,-2.53768155051,2.86851555783,35
239,Andre Iguodala,GSW,32,65,59,6,26.6,7.0,2.7,5.7,47.8,0.8,2.4,35.1,0.8,1.3,61.4,0.8,3.2,4.0,3.4,1.2,1.1,0.3,1.6,1,0,7.0,4.44260029306,12.0214206907,28
240,Willie Cauley-Stein,SAC,22,66,26,40,21.4,7.0,2.9,5.1,56.3,0.0,0.0,0.0,1.2,1.9,64.8,2.0,3.3,5.3,0.6,0.7,0.7,1.0,2.2,3,0,-1.2,21.6151381538,-20.0151689279,46
241,John Henson,MIL,25,57,22,35,16.8,7.0,2.9,5.1,56.4,0.0,0.0,0.0,1.2,2.1,59.0,1.5,2.4,3.9,0.9,1.1,0.3,1.9,2.3,3,0,-2.6,26.4819813786,-16.8338077957,53
242,Luke Babbitt,NOP,27,47,16,31,18.0,7.0,2.6,6.1,42.2,0.9,2.3,40.4,0.8,1.1,78.0,0.5,2.6,3.1,1.1,0.5,0.2,0.1,1.9,1,0,-0.6,-12.2323097331,8.00268910247,37
243,Festus Ezeli,GSW,26,46,42,4,16.7,7.0,2.7,5.0,54.8,0.0,0.0,0.0,1.5,2.9,53.0,2.0,3.6,5.6,0.7,0.8,0.4,1.1,2.0,6,0,4.8,31.1138438057,-13.375552038,54
244,Donald Sloan,BKN,28,61,13,48,21.6,7.0,2.5,5.7,44.0,0.6,1.6,38.4,1.3,1.7,75.0,0.3,2.6,2.8,4.4,1.3,0.5,0.1,1.2,3,0,-2.0,-8.55766151514,7.76872031787,25
245,Brandan Wright,MEM,28,12,6,6,17.7,6.9,2.9,4.3,67.3,0.0,0.0,0.0,1.1,2.0,54.2,1.2,2.4,3.6,0.5,0.8,0.4,1.3,1.8,0,0,-4.8,31.3049055348,-15.5910327632,55
246,Brandon Jennings,ORL,26,48,20,28,18.1,6.9,2.3,6.3,36.8,1.1,3.2,32.9,1.2,1.6,73.1,0.3,1.7,2.0,3.5,1.2,0.6,0.1,1.2,1,0,0.3,-4.63935577312,5.24893426175,36
247,Patrick Patterson,TOR,27,79,54,25,25.6,6.9,2.6,6.2,41.4,1.3,3.7,36.2,0.4,0.4,85.3,1.0,3.4,4.3,1.2,0.8,0.7,0.4,1.6,0,0,5.1,-16.3678444479,0.665370059924,29
248,Wesley Johnson,LAC,28,80,51,29,20.8,6.9,2.6,6.4,40.4,1.3,3.9,33.3,0.4,0.6,65.2,0.5,2.6,3.1,0.6,0.7,1.1,0.7,2.2,0,0,1.5,1.95796877765,9.44926727497,43
249,Andrew Nicholson,ORL,26,56,22,34,14.7,6.9,2.6,5.5,47.1,0.7,2.0,36.0,0.9,1.2,78.5,0.6,3.0,3.6,0.4,0.7,0.2,0.4,1.2,0,0,0.6,-9.92919642059,3.43783149774,33
250,Seth Curry,SAC,25,44,17,27,15.7,6.8,2.3,5.1,45.5,1.1,2.5,45.0,1.0,1.2,83.3,0.2,1.2,1.4,1.5,0.8,0.5,0.1,0.9,1,0,-0.9,-18.8334122681,8.48147745372,37
251,Kosta Koufos,SAC,27,78,32,46,19.0,6.8,3.0,5.7,53.2,0.0,0.0,0.0,0.7,1.3,54.8,2.2,3.3,5.4,0.4,0.6,0.5,0.9,2.4,5,0,-2.9,29.7628032393,-14.1198199199,56
252,Andrea Bargnani,BKN,30,46,11,35,13.8,6.6,2.8,6.1,45.5,0.1,0.3,18.8,1.0,1.2,82.5,0.6,1.5,2.1,0.4,0.6,0.1,0.2,1.3,0,0,-4.2,-3.87735656343,-12.7659572049,57
253,Vince Carter,MEM,39,60,33,27,16.8,6.6,2.2,5.7,38.8,1.0,2.8,34.9,1.2,1.4,83.3,0.5,1.9,2.4,0.9,0.6,0.6,0.3,1.7,0,0,-0.6,-13.8690867554,0.998589241117,29
254,Josh Richardson,MIA,22,52,29,23,21.3,6.6,2.4,5.2,45.2,1.0,2.2,46.1,0.8,1.2,66.7,0.4,1.7,2.1,1.4,0.7,0.7,0.5,2.1,0,0,0.8,-5.69162874478,18.514210778,29
255,Henry Sims,BKN,26,14,2,12,18.8,6.5,2.4,5.5,42.9,0.0,0.0,0.0,1.8,2.1,83.3,1.5,3.6,5.1,0.6,0.9,0.6,1.0,2.6,0,0,-6.7,5.55498998711,-28.4502415165,58
256,Ed Davis,POR,27,81,43,38,20.8,6.5,2.5,4.2,61.1,0.0,0.0,0.0,1.4,2.5,55.9,2.8,4.6,7.4,1.1,0.8,0.7,0.9,2.5,9,0,0.3,29.3133504085,-15.7853351523,46
257,Kris Humphries,ATL,31,53,29,24,15.7,6.5,2.3,5.6,41.0,0.6,2.0,31.5,1.3,1.6,79.8,1.1,3.0,4.1,0.7,0.7,0.3,0.4,1.8,1,0,-1.9,-8.89361146787,-0.216041665811,33
258,Justise Winslow,MIA,20,78,46,32,28.6,6.4,2.5,5.9,42.2,0.4,1.5,27.6,1.0,1.5,68.4,1.0,4.1,5.2,1.5,1.2,0.9,0.3,2.4,0,0,1.3,2.60181538092,2.65280473282,24
259,Thabo Sefolosha,ATL,32,75,42,33,23.4,6.4,2.5,4.9,50.7,0.6,1.6,34.1,0.8,1.3,62.6,0.7,3.8,4.5,1.4,0.9,1.1,0.5,1.5,1,0,-0.3,4.59795796502,10.1136088051,42
260,Tim Hardaway Jr.,ATL,24,51,29,22,16.9,6.4,2.2,5.2,43.0,0.9,2.8,33.6,1.0,1.1,89.3,0.1,1.5,1.7,1.0,0.5,0.4,0.1,0.9,0,0,2.0,-17.9413614368,-3.89982496308,37
261,Maurice Harkless,POR,23,78,40,38,18.7,6.4,2.5,5.3,47.4,0.5,1.8,27.9,0.9,1.4,62.2,1.3,2.3,3.6,0.9,0.8,0.6,0.4,1.6,4,0,0.4,8.03002709917,5.6520029891,35
262,Boris Diaw,SAS,34,76,64,12,18.2,6.4,2.7,5.0,52.7,0.3,0.9,36.2,0.7,1.0,73.7,0.8,2.3,3.1,2.3,1.3,0.3,0.3,1.3,0,0,3.8,-5.7696877349,5.5011427449,49
263,Leandro Barbosa,GSW,33,68,60,8,15.9,6.4,2.5,5.4,46.2,0.6,1.6,35.5,0.8,0.9,83.9,0.4,1.3,1.7,1.2,0.8,0.6,0.1,1.6,0,0,0.6,-14.1905471892,0.195807715256,29
264,Aron Baynes,DET,29,81,43,38,15.2,6.3,2.4,4.7,50.5,0.0,0.0,0.0,1.6,2.0,76.4,1.7,3.0,4.7,0.6,0.8,0.3,0.6,1.9,1,0,-0.7,11.6331797888,-25.6471673567,53
265,Shaun Livingston,GSW,30,78,69,9,19.5,6.3,2.6,4.9,53.6,0.0,0.2,16.7,1.0,1.2,86.0,0.5,1.6,2.2,3.0,1.0,0.7,0.3,1.8,0,0,2.7,-5.37582723326,-17.4589282773,59
266,Timofey Mozgov,CLE,29,76,52,24,17.4,6.3,2.7,4.7,56.5,0.0,0.1,14.3,0.9,1.3,71.6,1.4,3.0,4.4,0.4,0.9,0.3,0.8,2.1,2,0,0.0,8.27339982577,-11.9643805556,53
267,Donatas Motiejunas,HOU,25,37,19,18,14.8,6.2,2.4,5.5,43.9,0.4,1.5,28.1,0.9,1.4,64.2,1.0,1.9,2.9,1.1,1.2,0.5,0.1,1.9,0,0,1.2,6.00152162771,5.16719575802,33
268,PJ Hairston,MEM,23,66,31,35,19.9,6.2,2.2,6.2,35.5,1.1,3.7,29.0,0.8,1.0,78.1,0.4,2.3,2.6,0.6,0.6,0.5,0.2,2.1,1,0,-2.9,-6.57098734154,-0.558523732076,29
269,Mike Scott,ATL,27,75,46,29,15.3,6.2,2.3,5.0,46.8,0.8,2.1,39.2,0.7,0.8,79.4,0.7,2.0,2.7,1.0,0.6,0.3,0.2,1.4,0,0,1.5,-12.4134886108,5.63480080437,29
270,Paul Pierce,LAC,38,68,44,24,18.1,6.1,2.1,5.8,36.3,1.1,3.6,31.0,0.8,1.0,81.8,0.2,2.6,2.7,1.0,0.9,0.5,0.3,1.9,0,0,0.8,-10.7817574736,-1.0546384176,29
271,Trey Lyles,UTA,20,80,38,42,17.3,6.1,2.4,5.5,43.8,0.6,1.6,38.3,0.7,1.0,69.5,0.7,3.0,3.7,0.7,0.8,0.3,0.2,1.4,2,0,-0.6,-3.83212694657,10.6852565002,33
272,T.J. McConnell,PHI,24,81,10,71,19.8,6.1,2.7,5.7,47.0,0.4,1.1,34.8,0.3,0.5,63.4,0.5,2.6,3.1,4.5,1.7,1.2,0.1,1.4,0,0,-3.4,3.29429944729,10.7796867604,29
273,Channing Frye,CLE,33,70,35,35,17.1,6.1,2.2,5.0,43.8,1.3,3.4,38.7,0.4,0.5,85.7,0.5,2.8,3.3,1.0,0.6,0.4,0.4,1.8,0,0,1.5,-17.6360696379,2.18350631029,29
274,Tyler Zeller,BOS,26,60,38,22,11.8,6.1,2.3,4.8,47.6,0.0,0.0,0.0,1.5,1.8,81.5,1.0,1.9,3.0,0.5,0.8,0.2,0.4,1.6,1,0,-1.1,7.22673344395,-28.053575734,60
275,Mario Hezonja,ORL,21,79,33,46,17.9,6.1,2.3,5.3,43.3,0.8,2.4,34.9,0.6,0.7,90.7,0.4,1.9,2.2,1.4,1.2,0.5,0.2,1.6,0,0,-0.1,-19.7178476815,-3.6416639841,29
276,Dante Cunningham,NOP,29,80,28,52,24.6,6.1,2.3,5.2,45.1,0.7,2.2,31.6,0.7,1.0,69.5,0.7,2.2,3.0,1.0,0.5,0.5,0.4,2.2,0,0,-3.5,-0.0459709886331,5.02038271776,33
277,Josh Smith,HOU,30,55,31,24,16.0,6.0,2.3,6.3,36.4,0.7,2.6,28.7,0.7,1.2,55.2,0.9,2.6,3.5,1.6,1.4,0.6,0.9,2.1,0,0,-1.5,12.6446629439,11.6025810441,49
278,Jonathon Simmons,SAS,26,55,47,8,14.8,6.0,2.2,4.4,50.4,0.3,0.9,38.3,1.3,1.7,75.0,0.3,1.5,1.7,1.1,1.0,0.4,0.1,1.9,0,0,1.7,-7.96210524843,6.80148594677,29
279,Duje Dukan,SAC,24,1,0,1,24.2,6.0,2.0,10.0,20.0,2.0,5.0,40.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,2.0,0,0,-8.0,51.265082284,53.4619270042,29
280,Alexis Ajinca,NOP,28,59,20,39,14.6,6.0,2.5,5.3,47.6,0.0,0.0,0.0,0.9,1.1,83.9,1.3,3.3,4.6,0.5,0.9,0.3,0.6,2.3,4,0,-1.1,5.18765320545,-29.3729850547,61
281,Spencer Hawes,CHA,28,57,30,27,18.2,6.0,2.2,5.4,40.5,0.7,1.8,37.3,0.9,1.1,83.1,0.9,3.4,4.3,1.9,1.0,0.4,0.5,1.9,1,0,0.8,-14.8959176567,2.82141791951,41
282,Roy Hibbert,LAL,29,81,17,64,23.2,5.9,2.2,5.1,44.3,0.0,0.0,0.0,1.4,1.8,80.7,1.6,3.3,4.9,1.2,0.9,0.4,1.4,3.1,3,0,-8.4,7.89162803031,-27.1995937706,58
